Name,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
Lolly,1239,1329,794,563,563,370,372,420,410,443,343,233,145,153,119,115,175
Lopez,204,210,139,90,90,49,46,44,58,58,36,33,22,20,15,12,25
Louie,49,34,18,17,17,15,7,8,5,10,12,3,6,3,2,3,4
Lucha,53,56,19,11,11,13,9,9,18,18,14,7,10,2,4,3,7
Lucky,1663,1533,884,1009,1009,357,259,229,261,264,237,172,123,121,121,95,203
Lucy,55,58,33,36,36,18,19,14,13,16,14,6,6,6,6,4,14
Lyman,196,198,144,100,100,47,50,55,53,63,43,23,22,8,14,12,21
Mac,128,105,54,44,44,35,18,23,28,30,18,16,8,11,9,6,16
Maddie,159,173,121,64,64,33,35,32,24,40,23,24,20,10,18,9,26
Maelle,14,43,18,12,12,13,7,5,5,11,2,21,5,4,4,0,10
Maggie,40,52,36,15,15,14,6,12,10,20,8,12,5,3,4,2,1
Mallary,19,20,16,12,12,8,5,14,12,8,11,7,6,3,2,5,1
Maple,957,1116,740,570,570,389,349,412,384,466,319,231,147,142,98,105,185
Marcel,103,124,62,42,42,30,34,23,27,29,16,16,11,10,12,7,24
Marcie,81,60,26,30,30,20,15,17,15,16,18,6,8,9,9,4,6
Margie,128,142,79,44,44,35,35,33,38,39,27,18,15,15,13,8,19
Marina,2521,2440,1240,725,725,489,447,460,460,516,392,272,182,188,133,125,222
Marshal,6044,5426,2820,1641,1641,1108,936,1000,913,1065,725,479,361,365,245,258,454
Mathilda,44,46,25,28,28,21,18,12,24,21,22,13,10,6,6,4,9
Megan,176,175,105,65,65,53,37,43,44,49,42,30,12,16,10,5,19
Melba,575,583,304,199,199,133,115,144,164,192,127,97,56,52,40,28,69
Merengue,1935,1752,1211,637,637,404,366,436,429,452,344,240,155,139,133,90,197
Merry,445,1598,3540,625,625,275,414,281,239,244,200,127,80,74,60,38,89
Midge,108,91,55,34,34,27,24,32,29,35,22,24,11,9,11,12,10
Mint,127,130,69,57,57,40,40,37,39,52,36,26,24,17,13,20,23
